@relation ReactionNetworkDirectedEdited-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9_clustered

@attribute Instance_number numeric
@attribute Pathway {aac00010,aac00020,aac00030,aac00040,aac00051,aac00052,aac00061,aac00071,aac00072,aac00130,aac00190,aac00230,aac00240,aac00250,aac00270,aac00280,aac00281,aac00290,aac00300,aac00310,aac00330,aac00340,aac00350,aac00360,aac00361,aac00362,aac00364,aac00380,aac00400,aac00401,aac00410,aac00430,aac00450,aac00460,aac00471,aac00473,aac00480,aac00500,aac00520,aac00521,aac00550,aac00561,aac00562,aac00564,aac00590,aac00620,aac00621,aac00622,aac00625,aac00627,aac00630,aac00640,aac00642,aac00643,aac00650,aac00660,aac00670,aac00680,aac00720,aac00730,aac00740,aac00750,aac00760,aac00770,aac00780,aac00785,aac00790,aac00860,aae00010,aae00020,aae00030,aae00040,aae00051,aae00052,aae00061,aae00071,aae00100,aae00120,aae00130,aae00190,aae00220,aae00230,aae00240,aae00251,aae00252,aae00260,aae00271,aae00272,aae00280,aae00290,aae00300,aae00310,aae00330,aae00340,aae00350,aae00360,aae00361,aae00364,aae00380,aae00400,aae00401,aae00410,aae00450,aae00460,aae00471,aae00473,aae00500,aae00520,aae00521,aae00530,aae00540,aae00550,aae00562,aae00564,aae00620,aae00627,aae00630,aae00640,aae00641,aae00650,aae00660,aae00670,aae00680,aae00710,aae00720,aae00730,aae00740,aae00750,aae00760,aae00770,aae00780,aae00785,aae00790,aae00860,aau00010,aau00020,aau00030,aau00031,aau00040,aau00051,aau00052,aau00053,aau00061,aau00071,aau00072,aau00100,aau00120,aau00130,aau00150,aau00220,aau00230,aau00240,aau00251,aau00252,aau00260,aau00271,aau00272,aau00280,aau00281,aau00290,aau00300,aau00310,aau00311,aau00330,aau00340,aau00350,aau00360,aau00361,aau00362,aau00363,aau00364,aau00380,aau00400,aau00401,aau00410,aau00430,aau00450,aau00460,aau00471,aau00473,aau00480,aau00500,aau00510,aau00520,aau00521,aau00523,aau00530,aau00531,aau00540,aau00550,aau00561,aau00562,aau00564,aau00592,aau00600,aau00603,aau00604,aau00620,aau00622,aau00623,aau00624,aau00626,aau00627,aau00628,aau00630,aau00632,aau00640,aau00641,aau00642,aau00643,aau00650,aau00660,aau00670,aau00680,aau00710,aau00720,aau00730,aau00740,aau00750,aau00760,aau00770,aau00780,aau00785,aau00790,aau00791,aau00860,aav00010,aav00020,aav00030,aav00031,aav00040,aav00051,aav00052,aav00053,aav00061,aav00071,aav00072,aav00100,aav00120,aav00130,aav00190,aav00220,aav00230,aav00240,aav00251,aav00252,aav00260,aav00271,aav00272,aav00280,aav00281,aav00290,aav00300,aav00310,aav00330,aav00340,aav00350,aav00360,aav00361,aav00362,aav00364,aav00380,aav00400,aav00401,aav00410,aav00430,aav00440,aav00450,aav00460,aav00471,aav00473,aav00480,aav00500,aav00520,aav00521,aav00523,aav00530,aav00540,aav00550,aav00561,aav00562,aav00564,aav00620,aav00624,aav00626,aav00627,aav00628,aav00630,aav00631,aav00632,aav00640,aav00641,aav00643,aav00650,aav00660,aav00670,aav00680,aav00710,aav00720}
@attribute Nodes numeric
@attribute Edges numeric
@attribute ConnectedComponents numeric
@attribute NetworkDiameter numeric
@attribute NetworkRadius numeric
@attribute CharacteristicPathLength numeric
@attribute Avg.num.Neighbours numeric
@attribute Multi-edgeNodePair numeric
@attribute NeighborhoodConnectivity numeric
@attribute Outdegree numeric
@attribute Stress numeric
@attribute SelfLoops numeric
@attribute PartnerOfMultiEdgedNodePairs numeric
@attribute EdgeCount numeric
@attribute BetweennessCentrality numeric
@attribute Indegree numeric
@attribute Eccentricity numeric
@attribute ClosenessCentrality numeric
@attribute AverageShortestPathLength numeric
@attribute ClusteringCoefficient numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
127,aae00750,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
128,aae00760,14,19,1,6,1,2.333333,2.714286,0,3.161905,1.357143,5.428571,0,0,2.714286,0.034799,1.357143,1.928571,0.421564,1.176817,0.260714,cluster1
129,aae00770,21,27,1,10,1,3.598291,2.571429,0,3.211905,1.285714,22.238095,0,0,2.571429,0.038095,1.285714,3.47619,0.282478,1.760974,0.13254,cluster2
130,aae00780,7,5,2,4,1,1.909091,1.428571,0,1.571429,0.714286,1.428571,0,0,1.428571,0.119048,0.714286,1.571429,0.509524,1.142857,0,cluster0
131,aae00785,4,2,2,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
132,aae00790,10,12,3,2,1,1.3125,1.8,2,1.966667,1.1,0.6,0,0.4,2.2,0.041667,1.1,0.9,0.513333,0.725,0.15,cluster5
133,aae00860,16,16,1,6,1,2.114286,2,0,2.125,1,2.4375,0,0,2,0.011607,1,1.8125,0.542231,1.203472,0.03125,cluster1
134,aau00010,50,126,1,5,1,1.992218,4.96,2,7.166782,2.52,8.34,0,0.08,5.04,0.002168,2.52,1.24,0.395644,0.838055,0.264222,cluster3
135,aau00020,36,82,1,4,1,1.779006,4.444444,2,8.044624,2.277778,5.194444,0,0.111111,4.555556,0.003291,2.277778,1.027778,0.342299,0.737185,0.271541,cluster3
136,aau00030,30,83,1,4,1,1.873626,4.733333,6,6.649563,2.633333,6.5,0,0.4,5.266667,0.006527,2.633333,1.466667,0.477745,1.028255,0.232566,cluster3
137,aau00031,6,5,2,3,1,1.571429,1.333333,0,1.5,0.666667,0.666667,0,0,1.333333,0.111111,0.666667,1.166667,0.527778,0.916667,0,cluster0
138,aau00040,26,33,2,5,1,2.071429,2.538462,0,2.989103,1.269231,2.884615,0,0,2.538462,0.005701,1.269231,1.615385,0.455105,1.113492,0.153205,cluster1
139,aau00051,23,36,1,5,1,2.032258,3.130435,0,3.756211,1.565217,4.26087,0,0,3.130435,0.009034,1.565217,2.217391,0.610859,1.3968,0.214079,cluster1
140,aau00052,29,42,2,3,1,1.40625,2.896552,0,4.101724,1.448276,0.896552,0,0,2.896552,0.004269,1.448276,1.413793,0.595567,1.002874,0.165969,cluster1
141,aau00053,4,3,1,1,1,1,1.5,0,2.5,0.75,0,0,0,1.5,0,0.75,0.25,0.25,0.25,0,cluster4
142,aau00061,28,84,2,5,1,2.509852,3.357143,29,4.690476,2.714286,21.892857,0,2.071429,5.428571,0.036488,2.714286,3.071429,0.415419,2.039996,0.176446,cluster2
143,aau00071,38,70,2,5,1,1.855072,3.210526,1,4.109712,1.631579,3.105263,0,0.052632,3.263158,0.002609,1.631579,1.210526,0.484724,0.81614,0.09858,cluster1
144,aau00072,9,15,1,2,1,1.25,3.333333,0,4.77037,1.666667,0.777778,0,0,3.333333,0.009921,1.666667,0.777778,0.366667,0.55,0.340741,cluster1
145,aau00100,9,7,2,3,1,1.454545,1.555556,0,1.666667,0.777778,0.555556,0,0,1.555556,0.018519,0.777778,1.111111,0.544974,0.861111,0,cluster0
146,aau00120,7,4,3,1,1,1,1.142857,0,1.285714,0.571429,0,0,0,1.142857,0,0.571429,0.571429,0.571429,0.571429,0,cluster4
147,aau00130,10,7,3,2,1,1.125,1.4,0,1.7,0.7,0.1,0,0,1.4,0.05,0.7,0.6,0.466667,0.55,0,cluster0
148,aau00150,7,6,2,2,1,1.142857,1.714286,0,1.857143,0.857143,0.285714,0,0,1.714286,0.02381,0.857143,0.714286,0.535714,0.619048,0,cluster0
149,aau00220,23,28,2,4,1,1.512821,2.173913,0,2.773913,1.086957,0.869565,0,0,2.173913,0.002543,1.086957,0.869565,0.44844,0.65471,0.154348,cluster5
150,aau00230,74,193,2,11,1,3.862295,4.756757,5,5.127252,2.445946,75.689189,0,0.135135,4.891892,0.007121,2.445946,3,0.495642,1.864188,0.256918,cluster2
151,aau00240,37,61,1,6,1,2.216561,3.135135,1,3.503604,1.594595,6.351351,0,0.054054,3.189189,0.004097,1.594595,1.864865,0.50308,1.336854,0.240991,cluster1
152,aau00251,25,107,1,4,1,1.475309,8.24,4,11.903088,4.28,3.08,0,0.32,8.56,0.00558,4.28,1.2,0.351685,0.682438,0.330096,cluster3
153,aau00252,34,147,2,3,1,1.267442,7.588235,0,9.652744,3.794118,2.088235,0,0,7.588235,0.006532,3.794118,0.852941,0.438854,0.589289,0.37767,cluster3
154,aau00260,45,115,3,9,1,2.523392,5.111111,0,6.207567,2.555556,14.155556,0,0,5.111111,0.008692,2.555556,2.288889,0.439016,1.249075,0.224927,cluster2
155,aau00271,15,52,1,3,1,1.383333,5.333333,0,6.528836,2.666667,2.666667,0,0,5.333333,0.008425,2.666667,1.333333,0.599875,0.93197,0.250397,cluster3
156,aau00272,14,39,2,2,1,1.064516,4.142857,0,5.07568,2.071429,0.285714,0,0,4.142857,0.001587,2.071429,0.642857,0.558442,0.587302,0.227891,cluster1
157,aau00280,17,25,2,5,1,1.851852,2.705882,2,3.67381,1.470588,2.705882,0,0.235294,2.941176,0.020499,1.470588,1.705882,0.523669,1.052215,0.260364,cluster1
158,aau00281,6,5,1,2,1,1.166667,1.666667,0,1.833333,0.833333,0.166667,0,0,1.666667,0.008333,0.833333,0.666667,0.458333,0.555556,0,cluster0
159,aau00290,26,33,2,4,1,1.615385,2.307692,0,2.875,1.153846,1.230769,0,0,2.307692,0.002432,1.153846,1.307692,0.585184,1.012821,0.148077,cluster1
160,aau00300,20,26,1,9,1,3.933884,2.6,0,3.0075,1.3,29.65,0,0,2.6,0.051901,1.3,3.45,0.310919,2.257632,0.120833,cluster2
161,aau00310,10,8,2,3,1,1.416667,1.6,0,1.8,0.8,0.5,0,0,1.6,0.016667,0.8,0.9,0.522222,0.73,0,cluster0
162,aau00311,5,4,1,1,1,1,1.6,0,1.8,0.8,0,0,0,1.6,0,0.8,0.4,0.4,0.4,0,cluster4
163,aau00330,26,38,4,2,1,1.159091,2.769231,1,3.544872,1.423077,0.423077,0,0.076923,2.846154,0.006456,1.423077,0.730769,0.496795,0.594322,0.092308,cluster1
164,aau00340,21,24,3,4,1,1.877551,2.285714,0,2.519048,1.142857,2.047619,0,0,2.285714,0.029573,1.142857,1.285714,0.551153,1.069558,0.138889,cluster1
165,aau00350,23,31,4,3,1,1.434783,2.434783,1,2.755072,1.26087,1.173913,0,0.086957,2.521739,0.015528,1.26087,1.173913,0.622766,0.932367,0.072464,cluster1
166,aau00360,10,12,2,3,1,1.533333,1.8,0,2.433333,0.9,0.8,0,0,1.8,0.066667,0.9,1,0.471111,0.841667,0.083333,cluster0
167,aau00361,4,4,1,1,1,1,2,0,2.416667,1,0,0,0,2,0,1,0.75,0.75,0.75,0.291667,cluster5
168,aau00362,12,16,2,3,1,1.35,2.5,1,2.909722,1.333333,0.583333,0,0.166667,2.666667,0.013889,1.333333,0.916667,0.423611,0.611111,0.152778,cluster1
169,aau00363,3,2,1,1,1,1,1.333333,0,1.666667,0.666667,0,0,0,1.333333,0,0.666667,0.333333,0.333333,0.333333,0,cluster4
170,aau00364,3,3,1,1,1,1,2,0,2,1,0,0,0,2,0,1,0.666667,0.666667,0.666667,0.5,cluster5
171,aau00380,22,22,5,4,1,1.707317,2,0,2.378788,1,1.318182,0,0,2,0.04329,1,1.227273,0.454024,0.856602,0.149242,cluster5
172,aau00400,39,84,1,8,1,3.292887,3.589744,2,4.413431,1.846154,23.923077,0,0.102564,3.692308,0.009994,1.846154,2.153846,0.323388,1.499273,0.207295,cluster2
173,aau00401,3,5,1,1,1,1,2,1,2,1.333333,0,0,0.666667,2.666667,0,1.333333,0.666667,0.666667,0.666667,0.666667,cluster1
174,aau00410,9,20,1,2,1,1.3,3.111111,0,4.814815,1.555556,0.666667,0,0,3.111111,0.011905,1.555556,0.888889,0.457407,0.695767,0.2,cluster1
175,aau00430,6,6,1,2,1,1.142857,2,0,2.388889,1,0.166667,0,0,2,0.008333,1,0.666667,0.466667,0.541667,0.138889,cluster5
176,aau00450,15,19,1,4,1,1.763158,2.533333,0,4.658333,1.266667,2.133333,0,0,2.533333,0.010623,1.266667,0.933333,0.327934,0.776138,0,cluster1
177,aau00460,16,12,5,1,1,1,1.5,0,2.1875,0.75,0,0,0,1.5,0,0.75,0.375,0.375,0.375,0.09375,cluster5
178,aau00471,9,11,1,3,1,1.6,2.444444,0,3.233333,1.222222,1.333333,0,0,2.444444,0.02381,1.222222,0.777778,0.348584,0.625,0.22963,cluster5
179,aau00473,7,8,1,2,1,1.363636,2,1,4.761905,1.142857,0.571429,0,0.285714,2.285714,0.019048,1.142857,0.428571,0.228571,0.380952,0.147619,cluster1
180,aau00480,12,12,2,3,1,1.833333,2,0,3.35,1,2.083333,0,0,2,0.028935,1,1.083333,0.359414,0.775595,0,cluster5
181,aau00500,20,30,3,3,1,1.520833,2.7,1,3.402143,1.4,1.25,0,0.1,2.8,0.017424,1.4,1.05,0.544227,0.825417,0.183214,cluster1
182,aau00510,6,4,2,1,1,1,1.333333,0,1.666667,0.666667,0,0,0,1.333333,0,0.666667,0.333333,0.333333,0.333333,0,cluster4
183,aau00520,18,23,2,4,1,1.843137,2.555556,0,3.283333,1.277778,2.388889,0,0,2.555556,0.011376,1.277778,1.111111,0.433829,0.798882,0.213889,cluster1
184,aau00521,9,10,1,4,1,1.666667,2.222222,0,2.62963,1.111111,1.333333,0,0,2.222222,0.02381,1.111111,1.555556,0.600529,1.109259,0.185185,cluster5
185,aau00523,5,4,1,4,1,2,1.6,0,1.8,0.8,2,0,0,1.6,0.166667,0.8,2,0.513333,1.4,0,cluster0
186,aau00530,19,24,2,4,1,1.702128,2.526316,0,2.932456,1.263158,1.789474,0,0,2.526316,0.008271,1.263158,1.263158,0.416058,0.891855,0.101754,cluster1
187,aau00531,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
188,aau00540,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
189,aau00550,21,25,1,8,1,3.221154,2.380952,0,2.575397,1.190476,11,0,0,2.380952,0.028947,1.190476,3.428571,0.384237,2.176757,0.130952,cluster2
190,aau00561,8,8,1,2,1,1.111111,2,0,2.125,1,0.125,0,0,2,0.002976,1,0.625,0.475,0.53125,0,cluster5
191,aau00562,7,8,1,2,1,1.272727,2.285714,0,2.571429,1.142857,0.428571,0,0,2.285714,0.014286,1.142857,1,0.630952,0.833333,0.285714,cluster5
192,aau00564,14,18,3,2,1,1.2,2.285714,0,2.630952,1.142857,0.285714,0,0,2.285714,0.046429,1.142857,0.785714,0.588435,0.732143,0.059524,cluster5
193,aau00592,4,2,2,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
194,aau00600,7,5,2,1,1,1,1.428571,0,2.714286,0.714286,0,0,0,1.428571,0,0.714286,0.285714,0.285714,0.285714,0,cluster4
195,aau00603,3,2,1,2,1,1.333333,1.333333,0,1.666667,0.666667,0.333333,0,0,1.333333,0.166667,0.666667,1,0.555556,0.833333,0,cluster0
196,aau00604,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
197,aau00620,34,145,1,4,1,1.986072,8.411765,2,9.653421,4.264706,21.323529,0,0.117647,8.529412,0.00986,4.264706,1.794118,0.485356,1.154527,0.323873,cluster3
198,aau00622,3,2,1,2,1,1.333333,1.333333,0,1.666667,0.666667,0.333333,0,0,1.333333,0.166667,0.666667,1,0.555556,0.833333,0,cluster0
199,aau00623,3,2,1,2,1,1.333333,1.333333,0,1.666667,0.666667,0.333333,0,0,1.333333,0.166667,0.666667,1,0.555556,0.833333,0,cluster0
200,aau00624,13,7,6,1,1,1,1.076923,0,1.153846,0.538462,0,0,0,1.076923,0,0.538462,0.538462,0.538462,0.538462,0,cluster4
201,aau00626,10,11,2,2,1,1.3125,2.2,0,2.566667,1.1,0.5,0,0,2.2,0.036667,1.1,0.9,0.508333,0.733333,0.225,cluster5
202,aau00627,4,2,2,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
203,aau00628,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
204,aau00630,28,74,1,5,1,1.790541,4.928571,3,5.548611,2.571429,5.571429,0,0.214286,5.142857,0.005952,2.571429,1.75,0.508148,1.107427,0.327934,cluster3
205,aau00632,15,17,5,2,1,1.105263,2.266667,0,2.475556,1.133333,0.266667,0,0,2.266667,0.006667,1.133333,0.666667,0.577778,0.633333,0.267778,cluster5
206,aau00640,17,32,4,3,1,1.305556,2.941176,1,3.841737,1.529412,0.647059,0,0.117647,3.058824,0.011555,1.529412,0.764706,0.407937,0.570728,0.168908,cluster1
207,aau00641,6,3,3,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
208,aau00642,3,4,1,1,1,1,1.333333,0,1.666667,0.666667,0,0,0,1.333333,0,0.666667,0.333333,0.333333,0.333333,0,cluster4
209,aau00643,6,6,2,1,1,1,2,0,2.111111,1,0,0,0,2,0,1,0.5,0.5,0.5,0.277778,cluster5
210,aau00650,19,31,2,4,1,1.543478,3.052632,0,3.359649,1.526316,1.473684,0,0,3.052632,0.02287,1.526316,1.263158,0.50963,0.847744,0.209649,cluster1
211,aau00660,5,4,1,1,1,1,1.6,0,3.4,0.8,0,0,0,1.6,0,0.8,0.2,0.2,0.2,0,cluster4
212,aau00670,17,71,1,3,1,1.298851,7.411765,1,9.337305,3.823529,2.882353,0,0.117647,7.647059,0.006373,3.823529,1.647059,0.72684,1.110644,0.350601,cluster3
213,aau00680,12,12,3,2,1,1.25,2,0,2.505556,1,0.333333,0,0,2,0.011111,1,0.666667,0.448413,0.575,0.179167,cluster5
214,aau00710,22,41,3,3,1,1.313725,3.363636,4,3.914773,1.863636,0.909091,0,0.363636,3.727273,0.003463,1.863636,1.045455,0.546483,0.77684,0.271104,cluster1
215,aau00720,14,13,3,3,1,1.47619,1.857143,0,2.196429,0.928571,0.714286,0,0,1.857143,0.012755,0.928571,1,0.459864,0.755952,0.029762,cluster5
216,aau00730,15,14,4,2,1,1.263158,1.866667,0,2.6,0.933333,0.333333,0,0,1.866667,0.005952,0.933333,0.933333,0.512222,0.722222,0.093333,cluster5
217,aau00740,7,7,1,2,1,1.125,2,0,2.238095,1,0.142857,0,0,2,0.004762,1,0.714286,0.542857,0.607143,0.119048,cluster5
218,aau00750,7,7,2,1,1,1,2,0,2,1,0,0,0,2,0,1,0.571429,0.571429,0.571429,0.214286,cluster5
219,aau00760,20,37,1,6,1,2.705426,3.5,2,3.875833,1.85,11.3,0,0.2,3.7,0.032164,1.85,2.35,0.457649,1.536106,0.246667,cluster2
220,aau00770,22,30,1,10,1,3.570313,2.727273,0,3.251515,1.363636,22.363636,0,0,2.727273,0.035606,1.363636,3.636364,0.283527,1.82969,0.189394,cluster2
221,aau00780,4,3,1,3,1,1.666667,1.5,0,1.75,0.75,1,0,0,1.5,0.166667,0.75,1.5,0.541667,1.125,0,cluster0
222,aau00785,6,8,1,3,1,1.6,2.666667,0,2.777778,1.333333,1.5,0,0,2.666667,0.075,1.333333,1.833333,0.575397,1.275,0.277778,cluster1
223,aau00790,18,27,3,5,1,2,2.333333,2,2.912037,1.277778,3.666667,0,0.222222,2.555556,0.023569,1.277778,1.722222,0.454217,1.10873,0.19537,cluster1
224,aau00791,8,7,2,2,1,1.125,1.75,0,1.875,0.875,0.125,0,0,1.75,0.010417,0.875,0.75,0.59375,0.666667,0.1875,cluster5
225,aau00860,16,16,1,6,1,2.114286,2,0,2.125,1,2.4375,0,0,2,0.011607,1,1.8125,0.542231,1.203472,0.03125,cluster1
226,aav00010,37,87,1,4,1,1.5,4.594595,2,6.826798,2.351351,1.783784,0,0.108108,4.702703,0.001373,2.351351,1.081081,0.385421,0.648434,0.305961,cluster3
227,aav00020,34,71,1,4,1,1.577778,4.058824,2,7.667933,2.088235,2.705882,0,0.117647,4.176471,0.002172,2.088235,0.882353,0.330521,0.642419,0.288661,cluster3
228,aav00030,27,51,1,4,1,1.820755,3.555556,3,4.94899,1.888889,3.851852,0,0.222222,3.777778,0.004957,1.888889,1.185185,0.4222,0.946998,0.215384,cluster1
229,aav00031,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
230,aav00040,6,4,2,1,1,1,1.333333,0,1.5,0.666667,0,0,0,1.333333,0,0.666667,0.5,0.5,0.5,0,cluster4
231,aav00051,11,11,1,3,1,1.375,2,0,2.363636,1,0.545455,0,0,2,0.006061,1,1.181818,0.604978,0.916667,0.075758,cluster5
232,aav00052,6,5,2,1,1,1,1.666667,0,1.944444,0.833333,0,0,0,1.666667,0,0.833333,0.5,0.5,0.5,0.194444,cluster0
233,aav00053,5,5,1,1,1,1,2,0,2.2,1,0,0,0,2,0,1,0.6,0.6,0.6,0.233333,cluster5
234,aav00061,46,539,1,6,1,3.420902,3.956522,44,6.191304,2.934783,91.891304,0,1.913043,5.869565,0.037132,2.934783,3.978261,0.349136,2.90968,0.119543,cluster2
235,aav00071,38,76,2,16,1,4.207547,3.210526,2,4.109712,1.657895,31.315789,0,0.105263,3.315789,0.026316,1.657895,5.236842,0.27925,2.837052,0.111738,cluster2
236,aav00072,9,15,1,2,1,1.25,3.333333,0,4.77037,1.666667,0.777778,0,0,3.333333,0.009921,1.666667,0.777778,0.366667,0.55,0.340741,cluster1
237,aav00100,12,13,1,3,1,1.45,2.166667,0,2.430556,1.083333,0.75,0,0,2.166667,0.006818,1.083333,1.166667,0.545094,0.860119,0.097222,cluster5
238,aav00120,8,4,4,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
239,aav00130,4,2,2,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
240,aav00190,3,2,1,2,1,1.333333,1.333333,0,1.666667,0.666667,0.333333,0,0,1.333333,0.166667,0.666667,1,0.555556,0.833333,0,cluster0
241,aav00220,22,28,2,3,1,1.5,2.545455,0,3.570887,1.272727,1.181818,0,0,2.545455,0.003417,1.272727,0.727273,0.435119,0.613567,0.077381,cluster1
242,aav00230,67,138,4,10,1,3.51602,4.029851,3,4.539268,2.059701,27.716418,0,0.089552,4.119403,0.013966,2.059701,2.38806,0.454322,1.54689,0.235922,cluster2
243,aav00240,42,64,6,5,1,1.856164,2.857143,2,3.235771,1.47619,5.619048,0,0.095238,2.952381,0.014579,1.47619,1.571429,0.490963,1.075217,0.180556,cluster1
244,aav00251,22,88,1,4,1,1.475862,7.818182,2,12.302453,4,4.181818,0,0.181818,8,0.007468,4,1.136364,0.337899,0.648753,0.358472,cluster3
245,aav00252,24,82,2,2,1,1.089744,5.916667,0,7.572504,2.958333,0.458333,0,0,5.916667,0.021491,2.958333,0.666667,0.426758,0.499008,0.277831,cluster3
246,aav00260,40,93,2,8,1,2.583051,4.65,0,5.696944,2.325,14.375,0,0,4.65,0.009266,2.325,2.475,0.448278,1.353266,0.264405,cluster2
247,aav00271,18,55,2,4,1,1.634146,4.777778,0,5.857253,2.388889,4.5,0,0,4.777778,0.013757,2.388889,1.5,0.566369,0.989996,0.193122,cluster3
248,aav00272,16,50,2,2,1,1.1875,4.875,0,6.092361,2.4375,0.8125,0,0,4.875,0.004261,2.4375,0.8125,0.573413,0.704545,0.26441,cluster3
249,aav00280,28,40,4,5,1,1.911392,2.5,2,3.337755,1.321429,2.571429,0,0.142857,2.642857,0.009454,1.321429,1.214286,0.481124,0.870592,0.205102,cluster1
250,aav00281,6,5,1,2,1,1.166667,1.666667,0,1.833333,0.833333,0.166667,0,0,1.666667,0.008333,0.833333,0.666667,0.458333,0.555556,0,cluster0
251,aav00290,26,33,2,4,1,1.615385,2.307692,0,2.875,1.153846,1.230769,0,0,2.307692,0.002432,1.153846,1.307692,0.585184,1.012821,0.148077,cluster1
252,aav00300,20,26,1,9,1,3.933884,2.6,0,3.0075,1.3,29.65,0,0,2.6,0.051901,1.3,3.45,0.310919,2.257632,0.120833,cluster2
253,aav00310,11,11,2,3,1,1.333333,2,0,2.151515,1,0.454545,0,0,2,0.015152,1,0.909091,0.565657,0.754545,0.151515,cluster5
254,aav00330,28,57,1,5,1,1.954198,3.928571,1,4.762585,2,11.607143,0,0.071429,4,0.006359,2,1.964286,0.519334,1.199658,0.113251,cluster3
255,aav00340,19,22,2,4,1,1.813953,2.315789,0,2.580702,1.157895,1.842105,0,0,2.315789,0.026838,1.157895,1.263158,0.586784,1.056725,0.109649,cluster1
256,aav00350,12,14,2,3,1,1.421053,1.833333,1,2.708333,1,0.916667,0,0.166667,2,0.039683,1,0.916667,0.491667,0.743056,0,cluster5
257,aav00360,7,10,2,2,1,1.25,1.714286,0,2.5,0.857143,0.285714,0,0,1.714286,0.02381,0.857143,0.571429,0.380952,0.5,0.154762,cluster5
258,aav00361,4,2,2,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
259,aav00362,7,8,1,2,1,1.222222,2,1,2.333333,1.142857,0.285714,0,0.285714,2.285714,0.009524,1.142857,0.714286,0.52381,0.642857,0.119048,cluster5
260,aav00364,4,4,1,1,1,1,2,0,2.416667,1,0,0,0,2,0,1,0.5,0.5,0.5,0.291667,cluster5
261,aav00380,15,13,4,4,1,1.571429,1.733333,0,1.911111,0.866667,0.8,0,0,1.733333,0.055556,0.866667,1.133333,0.548081,0.891111,0.177778,cluster5
262,aav00400,40,98,1,8,1,3.146154,4.05,3,5.022619,2.1,23.575,0,0.15,4.2,0.009413,2.1,2.175,0.324158,1.510655,0.217719,cluster2
263,aav00401,3,5,1,1,1,1,2,1,2,1.333333,0,0,0.666667,2.666667,0,1.333333,0.666667,0.666667,0.666667,0.666667,cluster1
264,aav00410,12,9,4,2,1,1.181818,1.5,0,1.805556,0.75,0.166667,0,0,1.5,0.055556,0.75,0.666667,0.451389,0.569444,0.097222,cluster0
265,aav00430,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
266,aav00440,2,1,1,1,1,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,0.5,0.5,0,cluster4
267,aav00450,12,12,2,4,1,1.925926,2,0,2.520833,1,2.083333,0,0,2,0.028935,1,1.166667,0.410662,0.967857,0,cluster5
268,aav00460,5,3,2,1,1,1,1.2,0,1.4,0.6,0,0,0,1.2,0,0.6,0.4,0.4,0.4,0,cluster4
269,aav00471,11,16,1,3,1,1.44,2.909091,0,3.628788,1.454545,1,0,0,2.909091,0.011111,1.454545,0.909091,0.352814,0.618182,0.159091,cluster1
270,aav00473,7,8,1,2,1,1.363636,2,1,4.761905,1.142857,0.571429,0,0.285714,2.285714,0.019048,1.142857,0.428571,0.228571,0.380952,0.147619,cluster1
271,aav00480,15,29,1,3,1,1.537037,3.866667,0,5.170794,1.933333,2.8,0,0,3.866667,0.010623,1.933333,1.2,0.461086,0.819192,0.278413,cluster1
272,aav00500,8,8,1,3,1,1.416667,2,0,2.208333,1,0.625,0,0,2,0.014881,1,1,0.533333,0.770833,0.104167,cluster5
273,aav00520,13,16,1,4,1,1.833333,2.461538,0,3.208974,1.230769,2.307692,0,0,2.461538,0.017483,1.230769,1.230769,0.411502,0.787646,0.196154,cluster1
274,aav00521,5,5,1,3,1,1.555556,2,0,2.6,1,1,0,0,2,0.083333,1,1.2,0.45,0.866667,0.166667,cluster5
275,aav00523,5,4,1,4,1,2,1.6,0,1.8,0.8,2,0,0,1.6,0.166667,0.8,2,0.513333,1.4,0,cluster0
